job_id,company_name,title,location,formatted_work_type,formatted_experience_level,remote_allowed,sponsored,views,applies,application_type,pay_period,currency,normalized_salary,apply_rate,word_count,sentence_count,avg_word_length,flesch_reading_ease,flesch_kincaid_grade,sentiment_score,bullet_count,question_count,has_salary_language,has_benefits,has_flexibility,has_growth_language,has_culture_language,has_requirements_section,has_responsibilities_section,has_call_to_action,clarity_score
3898157558,,Azure Data Engineer,United States,Contract,Mid-Senior level,1.0,0,110.0,74.0,ComplexOnsiteApply,,,,0.6727272727272727,164,5,5.91,-36.8,22.8,0.0781,0,0,True,False,True,True,False,True,False,False,45.8
3886885021,Revature,Senior Data Engineer,United States,Full-time,Mid-Senior level,1.0,0,144.0,91.0,ComplexOnsiteApply,,,,0.6319444444444444,678,21,6.29,-46.01,24.33,0.2304,0,0,True,True,True,True,True,False,True,False,42.6
3899527467,Avant-garde Health,Data Analyst,Greater Boston,Full-time,Mid-Senior level,,0,330.0,207.0,ComplexOnsiteApply,,,,0.6272727272727273,199,4,6.47,-103.58,33.93,0.2836,0,1,False,True,True,True,True,True,True,False,10.3
3902769124,,Cloud AWS Engineer,United States,Contract,,1.0,0,261.0,159.0,ComplexOnsiteApply,HOURLY,USD,135200.0,0.6091954022988506,438,8,6.6,-122.07,37.01,0.3345,0,0,False,False,False,True,True,True,True,False,0.0
3886883127,ATC,Data Analyst-WA,"Washington, United States",Full-time,Entry level,,0,104.0,63.0,SimpleOnsiteApply,,,,0.6057692307692307,178,6,6.11,-33.16,22.19,0.2998,0,0,False,False,False,True,False,True,False,True,48.2
3894877576,Trinity Technology Solutions LLC,Java Developer Contract,"St Louis, MO",Contract,Mid-Senior level,,0,125.0,75.0,ComplexOnsiteApply,,,,0.6,158,1,6.16,-419.63,86.61,0.1591,0,0,False,False,False,True,False,True,False,False,0.0
3901349539,ChabezTech LLC,Senior Data Engineer,"Georgia, United States",Contract,Mid-Senior level,,0,959.0,566.0,ComplexOnsiteApply,,,,0.5901981230448383,203,1,6.72,-570.3,111.72,0.1404,0,0,False,False,False,True,True,True,True,False,0.0
3900963220,Acro Service Corp,Quality Assurance Automation Engineer,"Arizona, United States",Contract,Associate,,0,109.0,64.0,SimpleOnsiteApply,HOURLY,USD,83200.0,0.5871559633027523,173,11,6.55,-3.68,17.28,0.2281,0,0,False,False,False,True,False,True,False,False,67.9
3888480888,,Frontend Developer,United States,Full-time,,1.0,0,368.0,214.0,SimpleOnsiteApply,YEARLY,USD,80000.0,0.5815217391304348,364,5,6.23,-165.9,44.32,0.4193,2,1,True,True,True,True,True,True,False,True,0.0
3900977334,Irvine Technology Corporation,Sr DevOps Engineer `100% remote,"North Carolina, United States",Contract,Mid-Senior level,1.0,0,157.0,91.0,ComplexOnsiteApply,HOURLY,USD,150800.0,0.5796178343949044,302,10,5.94,-29.99,21.66,0.3453,1,0,True,True,True,True,False,True,False,True,54.4
3887114364,,SQL Developer,United States,Full-time,,1.0,0,353.0,203.0,ComplexOnsiteApply,MONTHLY,USD,112848.0,0.5750708215297451,248,4,6.74,-147.83,41.31,0.254,0,0,False,False,False,True,True,True,False,False,0.0
3904362449,Altimetrik,Java full stack developer,"Jersey City, NJ",Full-time,Mid-Senior level,,0,148.0,85.0,ComplexOnsiteApply,,,,0.5743243243243243,327,10,6.41,-50.57,25.1,0.8848,0,0,False,True,False,True,True,True,False,False,40.6
3905218096,E-Solutions,Software Development Engineer in Test,United States,Contract,Mid-Senior level,1.0,0,171.0,98.0,ComplexOnsiteApply,,,,0.5730994152046783,385,4,6.15,-233.84,55.64,0.4077,0,0,False,False,False,True,True,True,True,False,0.0
3886882363,AgileEngine,Middle/Senior Java Developer,United States,Full-time,Mid-Senior level,1.0,0,126.0,72.0,SimpleOnsiteApply,,,,0.5714285714285714,320,7,6.31,-86.95,31.16,0.559,0,0,True,True,True,True,True,True,False,False,16.4
3899536551,Sparkle Dryclean,Virtual Customer Service Representative (Remote),"California, United States",Full-time,,1.0,0,205.0,117.0,ComplexOnsiteApply,,,,0.5707317073170731,350,10,6.63,-63.9,27.32,0.7483,0,0,True,True,True,True,True,True,True,True,36.7
3886896808,"Envision Information Technologies, LLC",Project Manager (IT),United States,Full-time,,1.0,0,100.0,57.0,ComplexOnsiteApply,,,,0.57,391,11,6.79,-69.88,28.31,0.4046,0,0,False,True,True,True,True,True,False,False,27.8
3899546046,Falcon Smart IT (FalconSmartIT),Pyspark Developer,"New Jersey, United States",Contract,Mid-Senior level,,0,118.0,67.0,ComplexOnsiteApply,,,,0.5677966101694916,35,1,7.23,-80.7,30.12,0.0,1,0,False,False,False,False,False,False,False,False,11.5
3902939062,"Gardner Resources Consulting, LLC",Data Engineer,"Boston, MA",Contract,,1.0,0,830.0,470.0,ComplexOnsiteApply,,,,0.5662650602409639,274,3,6.78,-237.05,56.18,0.5437,0,0,False,True,False,True,True,True,True,False,0.0
3903478832,CirrusLabs,Lead SnowFlake Engineer/BI Engineer/ETL Engineer/Data Lead Engineer,"Alpharetta, GA",Contract,Mid-Senior level,,0,101.0,57.0,ComplexOnsiteApply,,,,0.5643564356435643,75,2,5.57,-41.42,23.57,0.0,1,0,False,False,True,False,False,False,False,False,37.7
3901662400,Ender-IT,Senior Data Bricks Engineer (Contract-to-Hire),"Denver, CO",Contract,Mid-Senior level,,0,298.0,168.0,ComplexOnsiteApply,,,,0.5637583892617449,266,2,6.34,-349.54,74.92,0.7358,2,0,False,True,False,True,True,False,False,False,0.0
3902948256,Adaptavist,Senior Data Analyst,United States,Full-time,Mid-Senior level,1.0,0,119.0,67.0,ComplexOnsiteApply,,,,0.5630252100840336,546,16,6.0,-43.25,23.88,0.5563,0,0,False,True,True,True,True,False,False,False,40.5
3901698974,Syntax,Azure Cloud Engineer,United States,Contract,Mid-Senior level,1.0,0,368.0,206.0,ComplexOnsiteApply,,,,0.5597826086956522,505,6,6.29,-201.76,50.29,0.3115,1,1,False,False,True,False,True,True,True,True,0.0
