segment,value,postings,avg_views,avg_applies,avg_apply_rate,avg_clarity
formatted_work_type,Contract,12117,31.370718824791616,6.753651894033177,0.07414909611121112,35.89655030122968
formatted_work_type,Full-time,98807,12.984464663434776,1.5364296051899158,0.030822032973855544,48.599272318762836
formatted_work_type,Internship,983,22.71617497456765,4.722278738555443,0.07615981952230796,53.23672431332655
formatted_work_type,Other,487,10.39835728952772,1.570841889117043,0.020905934197072082,57.24989733059548
formatted_work_type,Part-time,9696,8.075701320132014,0.6259282178217822,0.012232373832088883,58.42778465346535
formatted_work_type,Temporary,1190,10.653781512605041,1.392436974789916,0.01953857017623902,59.474033613445386
formatted_work_type,Volunteer,562,7.523131672597865,0.3914590747330961,0.006659681785540865,70.02829181494663
formatted_experience_level,Associate,9826,20.981274170567882,3.5764298799104415,0.056198276515845254,41.60757174842255
formatted_experience_level,Director,3746,20.991190603310198,2.281099839829151,0.03559838177684583,37.484249866524294
formatted_experience_level,Entry level,36708,8.216110929497658,0.6177672441974501,0.015164603467024149,56.10488449384331
formatted_experience_level,Executive,1222,42.326513911620296,3.6890343698854338,0.034796924864007914,37.47201309328969
formatted_experience_level,Internship,1449,13.459627329192546,2.3747412008281574,0.04409511474973604,58.87577639751553
formatted_experience_level,Mid-Senior level,41489,15.360215960857095,2.4902745305984717,0.038645658634983975,44.87589481549326
formatted_experience_level,,29402,16.692027753214067,2.359193252159717,0.041642222815560875,47.34566015917285
remote_allowed,1.0,15243,43.30951912353211,8.737584465000328,0.08864783593840937,40.81962868201797
remote_allowed,,108599,10.363907586626027,1.047983867254763,0.02604925999176676,49.462254716894265
sponsored,0,123842,14.418993556305615,1.9944526089694934,0.03368235773578648,48.39848355162223
